nama orang,geb/overl.,id,actual id,Unnamed: 4,origin
"Aa, zr. W. van der",1908-1942/5,0,,,Netherlands
"Aalbers, dr. Joh. Godefr., arts",1910-1992,1,,,Netherlands
"Aalders, zr. Jacoba",1910-1999,2,,,Netherlands
"Abeel, David",1804-1846,3,,,United States of America
"Abkoude, ds. F.N.M. van",1895-1988,4,,,Netherlands
"Ackermann, Gustav, zdl.",1876-1955,5,,,Germany
"Adriaanse, A.J., zie Gemerts-Adriaanse, A.J.",,6,,,
"Adriaanse, ds. L.",1856-1947,7,,,Netherlands
"Adriani, dr. Nicolaus",1865-1926,8,,,Netherlands
"Aebersold, W.E., zdl",1903-1996,9,,,Switzerland
"Agter, H.J., zdl",1892-1957,10,,,Netherlands
"Akersloot, J., zdl.",1790/1-1830,11,,,Netherlands
"Akerson, Rev. Leroy Lind",1892-1921,12,,,United States of America
"Akkeren, dr. Philippus v, zdl",1910-1993,13,,,Netherlands
"Albers, C., zdl",1837-1920,14,,,Netherlands
"Albrecht, zr. Magdalene",1895-1968,15,,,Germany
"Alewijn, jhr. Anton Godfried",1877-1954,16,,,Netherlands
"Alfs, Anna",1877-1967,17,,,Germany
"Alkema, B.M., zdl",1868-1942,18,,,Netherlands
"Alkema, Menno Theod.",1894-1963,19,,,Netherlands
"Allaart Bernard, arts",1908-1999,20,,,Netherlands
"Allaart, ds. Dirk J. Bergardus",1898-1945,21,,,Netherlands
"Allstrom, Rev. Eric W.",,22,,,United States of America
"Alm, Rev. Ragnar",1900-1964+,23,,,Scandinavia
"Alphen, J.J. van",1848/9,24,,,
"Alphen, Pauline El. van",1885-1945,25,,,Netherlands
"Alt, Gustav Adolf",1856-1921,26,,,Germany
"Alt, Marg. Adriana",1883-1962,27,,,Netherlands
"Ameler, August",1877-1940,28,,,Germany
"Amstutz, Daniel, zdl.",1906-1991,29,,,Switzerland
"Andel, zr. Corn. Cath. Herm.",1913-1997,30,,,Netherlands
"Andel, dr. H.A. van",1875-1945,31,,,Netherlands
"Anders, Emilie",1868-1922,32,,,Germany
"Anderson, E.G.O.",,33,,,United Kingdom
"Anken, zr. Roelfke van",1906-2001,34,,,Netherlands
"Anskohl, Martin",1883-1945,35,,,Germany
"Antheunisse, A., ond.",1896-1990,36,,,Netherlands
"Archer, Rev. Raymond LeRoy",1887-1970,37,,,United States of America
"Arff-Schumacher, Elli",1865-1914,38,,,Germany
"Arkel, zr. G. van, diakones  later G. Kiewiet-van Arkel",1903-1984,39,,,Netherlands
"Arms, William, zdl",1802-1889,41,,,United States of America
"Arps, B.J., zdl",1898-1962,42,,,Netherlands
"As, A. van, zdl",1886-1920,43,,,Netherlands
"Asselt, Gerrit van, zdl",1832-1910,44,,,Netherlands
"Augusteijn, zr. Jolina",1905-2000,45,,,Netherlands
"Baan, zr. Maria",1896-1994,46,,,Netherlands
"Baan, M.J.G., zie Voorst-Baan",,47,,,
"Baarbé, Cornelia, ond., evangel.",1894-1981,48,,,Netherlands
"Baarbé, zr. Hendrika",1896-,49,,,Netherlands
"Baarda, M.J. van, zdl",1854-1940,50,,,Netherlands
"Baars, Dingeman Joh., zdl",1907-2000,51,,,Netherlands
"Baier, Georg",1894-1987,52,,,Germany
"Bakker, Dirk,",1865-1932,53,,,Netherlands
"Bakker, Dirk, arts",1898-1973,54,,,Netherlands
"Bakker, F.L.",1893-1971,55,,,Netherlands
"Bakker, G.F.C., zdl",1897-1954,56,,,Netherlands
"Bakker, P., ond.",,57,,,Netherlands
"Balen, J.A. van, zdl.",1854-1941,58,,,Netherlands
"Baljon, J.M.S., zendeling",1891-1978,59,,,Netherlands
"Baltin, zr. A.",-1942/45,60,,,Netherlands
"Bansemer, C.L., zdl.",1885-1953,61,,,Germany
"Bär, Chr. G., zdl.",,62,,,Netherlands
"Bär Sr., J.J., zdl.",1786-1851,63,,,Switzerland
"Bär Jr., J.J., zdl",1829/30-'84,64,,,Netherlands
"Barnstein, Joh. Heinrich, zdl.",1802-1863,65,,,Germany
"Barreveld, zr. Teuntje H.",1902-1978,66,,,Netherlands
"Bart, Johann, zdl.",1893-1943,67,,,Switzerland
"Barth, Wilhelm, zdl.",1869-1950,68,,,Germany
"Bassfeld, Dietrich",1877-1940,69,,,Germany
"Bast, Tijmen, arts",1899-1999,70,,,Netherlands
"Baughman, Rev. Burr J.,",1887-1920,71,,,United States of America
"Bauszat, Chr., zdl",1879-1914,72,,,Germany
"Bauszat-Pistor, Paula",1877-1948,73,,,Germany
"Bavinck, dr. J.H.",1895-1964,74,,,Netherlands
"Bax, Hendrik, zdl.",1887-1940,75,,,Netherlands
"Becker, Emil",1882-1955,76,,,Germany
"Becker, Johann Friedrich",1811-1849,77,,,Germany
"Becker, Karl",1876-1923,78,,,Germany
"Becker, Wilhelm . Dir. PT Becker Brand te Sibolga, penasihat RMG",,79,,,Germany
"Beckman Lapré, mw. L.M.",,80,,,Netherlands
"Bedet, Jozias S., arts",1914-1944,81,,,Netherlands
"Beek, H. van de, zdl > ond.",1897-1961,82,,,Netherlands
"Beek, W. van de, zdl.",1888-1954,83,,,Netherlands
"Beekman, Fred. Gerard.",1870-,84,,,Netherlands
"Beekman, Hendrik Clement",1896-1975,85,,,Netherlands
"Beel, Theodor",1906-1972+,86,,,Germany
"Been, M.",1838-1882,87,,,Netherlands
"Beisenherz, Auguste",1865-1961,88,,,Germany
"Beisenherz, Daniel G.C.",1872-1952,89,,,Germany
"Bekkering, mw. M.J., ond.",,90,,,Netherlands
"Belksma, A., ond., zdl.",1909-1945,91,,,Netherlands
"Belksma, J., ond., zdl.",1884-1942,92,,,Netherlands
"Ben, zr. A.A.C. van der",1892-1966,93,,,Netherlands
"Bent, Nic. W. van der, zdl",1913-1982,94,,,Netherlands
"Benthem Jr., J. van, zdl",1890-1968,95,,,Netherlands
"Berends ten Kate, B., ond., zie Kate, B. Berends ten",,96,,,
"Berg, Jelle, arts",1895-1982,97,,,Netherlands
"Berg, E.J. van den, zdl",1873-1955,98,,,Netherlands
"Berg, H.W. van den, zdl",1895-1945,99,,,Netherlands
"Berg, W.H. van den, zdl",1897-1966,100,,,Netherlands
"Berger, Carl",1875-1947,101,,,Germany
"Berger, Heinrich Julius",-1845,102,,,Germany
"Berghäuser, Heinrich, zdl.",1906-1999,103,,,Germany
"Bernard, William J.",1866-1945,104,,,United Kingdom
"Bertsch, mw. K.",1890/1-1982,105,,,Germany
"Bervoets, dr. H., arts",1867/8-1933,106,,,Netherlands
"Best, Cornelis de, zdl.",1837-,107,,,Netherlands
"Bettink (Betting), H., zdl",1840-1916,108,,,Netherlands
"Betz, Alfred , zdl.,",1905-1976,109,,,Germany
"Betz, Fred. Willem, zdl.",1832-1881,110,,,Netherlands
"Betz, Gottlieb M.C.Ch., zdl.",1874-1947,111,,,Germany
"Betz, mw. Mimi, ond.",,112,,,Netherlands
"Beukhof, J., zwm",1830-1900,113,,,Netherlands
"Beunders, Henri P.G., ond.,",1878-1956,114,,,Netherlands
"Beyer, August Wilhelm",1815-1882,115,,,Germany
"Beyer, Carl Aug. Hermann, zwm",±1840-1918,116,,,Germany
"Beyer, R. , zwm",-1871+,117,,,Germany
"Bezemer, Tammo Jacob, zdl",1869-1944,118,,,Netherlands
"Bieger, Johannes Nicolaas, zdl.",1877-1967,119,,,Netherlands
"Bieger, Phil., zdl",1841-1911,120,,,Netherlands
"Bielefeld, Carl, zdl.",1878-1966,121,,,Germany
"Bielski, zr. Alice I.",1882-1944?,122,,,United States of America
"Bierdrager, Jacob, arts",1903-1984,123,,,Netherlands
"Bierhuys, M.",,124,,,Netherlands
"Bierkuis, mw. L., ond.",,125,,,Germany
"Biersteker, zr. Jannetje,  IM GZbl 1971, 138",1903-1971,126,,,Netherlands
"Biezen, A. van der, ond.",1901-1930,128,,,Netherlands
"Bigler, W., zdl.",1903-1976,129,,,Switzerland
"Bijkerk, J., ond.",,130,,,Netherlands
"Bijkerk, Jac., zdl",1887-1978,131,,,Netherlands
"Bijl, zr. Jansje",1896-1946+,132,,,Netherlands
"Bijl, Adr. van der, ond.",1898-1945,133,,,Netherlands
"Bijlefeld, Jan, zdl.",1895-1934,134,,,Netherlands
"Bijsterveld, Arie, arts",1898-,135,,,Netherlands
"Bikker, ds. A.",1898-1977,136,,,Netherlands
"Billmann, H., zdl",1883-1964,137,,,Germany
"Bink, Gerardus L., zwm > zdl",1844-1899,138,,,Netherlands
"Bittner, Linus H., arts",1890-1959,139,,,United States of America
"Blecher, Friedrich, zdl.",1866-1939,140,,,Germany
"Bliek, A.J., zdl,",1873-1946,141,,,Netherlands
"Blinde, Joost Hendrik, zdl",1873-1948,142,,,Netherlands
"Block, mw. Helene",1874-1945,143,,,Germany
"Blomberg, zr. Lamberta H.",1903-1989,144,,,Netherlands
"Böckmann, mw. Laura",1844-1903,145,,,Germany
"Bodaan, Laurens, zdl",1878-1966,146,,,Netherlands
"Boddé, J., zdl",1849-1917,147,,,Netherlands
"Bode, Werner A., zdl",1890-1942,148,,,Germany
"Bode, A. de, zdl",1839-1873,149,,,Netherlands
"Boer-de Raadt, zr. Sophia Maria Gerardina de",1866-1949,150,,,Netherlands
"Boer, Pieter de",1876-1961,151,,,Netherlands
"Boer, Reyer de, zdl .",1835-1891,152,,,Netherlands
"Boetzelaer van Asperen en Dubbel­- dam, C.W.T. baron van",1973-1956,153,,,Netherlands
"Bogaards, zr. Antje",1913-,155,,,Netherlands
"Boger, F., zdl.",1884-1942,156,,,Germany
"Böhl, Bertha, diakones",1886-1972,157,,,Germany
"Bohlken, dr. S., arts",1904-2000,158,,,Netherlands
"Bokma, zr. J.",,159,,,Netherlands
"Bokma, zr. Louisa Fred.",1902-,160,,,Netherlands
"Boland, ds. B.J.",1916-2003,161,,,Netherlands
"Bolt, zr. Melina",1888-1981,162,,,Netherlands
"Bolwijn, ds. Albert",1854-1935,163,,,Netherlands
"Bomas, Willem",1904-1943,164,,,Netherlands
"Bonebakker, A., arts",1895-1975,165,,,Netherlands
"Bone, mw. A.E.",,166,,,Netherlands
"Bonert, Alwine",1910-,167,,,Germany
"Bonn, Peter, zdl.",1851-1929,168,,,Germany
"Bonzel, J.H.M. van, zdl",1892-1944,169,,,Netherlands
"Boorsma, zr. W.",1887-1939,170,,,Netherlands
"Booy, J.J., ond.",1892-1956,171,,,Netherlands
"Borch, Wilhelm, zdl.",1870-1947,172,,,Germany
"Borden, zr. G. van der",1902-1984,173,,,Netherlands
"Börger, Friedrichzdl.,",1878-1934,174,,,Germany
"Bormeister, J.F., zdl.",1784/5-1825,175,,,Russia
"Borst, L., ond.",1877-1946,176,,,Netherlands
"Borutta, Ludwig, zdl",1879-1959,177,,,Germany
"Bos, mw. zr. D.",,178,,,Netherlands
"Bos, Gerardus, ond.",1896-1945,179,,,Netherlands
"Bos, drs. Hilbrand, ond.",1910-,180,,,Netherlands
"Bos, J.",,181,,,Netherlands
"Bos, Jan, zdl.",1906-1981,182,,,Netherlands
"Bos, Sara Jacoba",1909-1967,183,,,Netherlands
"Bos, zr. M.M. van den",1902-1986,184,,,Netherlands
"Bosch, Jan, ond.",,185,,,Netherlands
"Boshuizen, Willem, ond.",1896-1945,186,,,Netherlands
"Bosman, D.J., ond.",1894-1967,187,,,Netherlands
"Bosman, dr. F.J., arts",1898-1972,188,,,Netherlands
"Bossert, R., zdl",1814-1889,189,,,Netherlands
"Bosshardt, mw. M., ond.",1883-1945,190,,,Netherlands
"Bot Jr, Kornelis Adr., zdl",1903-1989,191,,,Netherlands
"Both, zr. G.A.",1887-1926,192,,,Netherlands
"Boulogne, Bastiaan, zdl.",1899-1974,193,,,Netherlands
"Bout, D.C.A., zdl",1883-1969,194,,,Netherlands
"Bouwer, Pieter J.",1892/3-1971,195,,,Netherlands
"Bovenkamp, J.R. van den, zdl",1865-1901,196,,,Netherlands
"Bower, Harry C.",,197,,,United States of America
"Braches, Ernst Friedrich, zdl.",1844-1922,198,,,Germany
"Bradley, William Paul",1897-1985,199,,,United States of America
"Brakensiek, Heinrich, zdl.",1865-1933,200,,,Germany
"Braun, K., zdl.",1903-1981,201,,,Germany
"Bregenstroth, Ludwig, zdl.",1881-1961,202,,,Germany
"Bremmer, J., arts",1895-1969,203,,,Netherlands
"Bretzler, Johann, zdl",1873-1938,204,,,Germany
"Brill, John Wesley",1904-1985,205,,,United States of America
"Brilman, D., zdl.",1898-1972,206,,,Netherlands
"Brink, Henriëtte Georgine",±1900-,207,,,Netherlands
"Brink, ds. Hendrikus van den",1904-1982,208,,,Netherlands
"Brinkman, H.B., ond.",1884-1960,209,,,Netherlands
"Brinkschmidt, Friedrich, zdl.",1869-1935,210,,,Germany
"Brinkschmidt, Robert, zdl.",1873-1936,211,,,Germany
"Brockhaus, Otto, zdl.",1877-1911,212,,,Germany
"Broek, Gerardus ten, zdl.",1885 -1918,213,,,Netherlands
"Broekgaarden, G.J., ond.",1898-1942+,214,,,Netherlands
"Broekmate, Hermann, zdl.",1873-1910,215,,,Germany
"Bron, mw. Geertje",1912-2000,216,,,Netherlands
"Bronkhorst, mw. Coleta",1902-1973,217,,,Netherlands
"Brouwer, zr. E.",1889-1957,218,,,Netherlands
"Brouwer, Jacob G.",1871?-1939,219,,,Netherlands
"Brouwer, M., zdl",1845-1912,220,,,Netherlands
"Bruch, August, zdl.",1864-1953,221,,,Germany
"Brückner, Gottlob W., zdl. ,",1783-1857,222,,,Germany
"Brückner, Wilhelm, zdl.",1878-1945,223,,,Germany
"Brug Sr., O. van der, zdl",1863-1927,224,,,Netherlands
"Brug Jr., O.E. van der, zdl",1893-1985,225,,,Netherlands
"Brugghen, zr. A.E.P. van der",1889-1952,226,,,Netherlands
"Brugghen, mw. Clara M. vd",1884-1977,227,,,Netherlands
"Bruijn Azn, ds. C. de",1859-1932,228,,,Netherlands
"Bruijn, R. le, zdl",1799-1829,229,,,Netherlands
"Bruijne, Gerrit Adriaan de, arts",1906-1963,230,,,Netherlands
"Bruining, Wernard, zwm",1809-1872,231,,,Netherlands
"Brummelkamp, R., arts",1897-1994,232,,,Netherlands
"Buchanan, Rev. C.S.",,233,,,United States of America
"Buchholz, Charlotte",1866-,234,,,Germany
"Buijsman, mw. N.",,235,,,Netherlands
"Buitelaar, Leendert, arts",1907-1944,236,,,Netherlands
"Bunker, Edward J.",,237,,,United States of America
"Burger, W. Corn., arts",1912-1999,238,,,Netherlands
"Burgers, Mar. Alb., zwm",1823-1869,239,,,Netherlands
"Burgstede, E.C., zdl",1908-1979,240,,,Netherlands
"Burgt, zr. Amelia van de",,241,,,Netherlands
"Burton, Richard",-1828,242,,,United Kingdom
"Buttenaar, H.N., zdl",1787-1833,243,,,Netherlands
"Carey, Jabez, zdl.",1793-1862,244,,,United Kingdom
"Carlson, O.A.",,245,,,United States of America
"Cass, Ms. E., ond.",,246,,,United States of America
"Casteren van Cattenburgh, C.L.",1824/5-1854,247,,,Netherlands
"Cate, zr. H.F. ten,",,248,,,Netherlands
"Chadwick, Ms. Freda P.",,249,,,United States of America
"Chen, J.T.. zdl.",±1905-,250,,,China
"Cheung, F.L., zdl.",±1905-,251,,,China
"Chong, C.C., zdl.",±1905-,252,,,China
"Christiansen, Julius L.F., zdl.",1844-1934,253,,,Germany
"Chu, S.W., zdl.",±1905-,254,,,China
"Clercq, Rijnhart Willem de",1878-1939,255,,,Netherlands
"Clevering, zr. Hendrika",1890-1957,256,,,Netherlands
"Clench, Cliff David ()",±1900-1933,257,,,Canada
"Cole, J. Preston",,258,,,United States of America
"Colenbrander, ds. J.F.",1877-1964,259,,,Netherlands
"Combe, Emma C.",1812-1844,260,,,Switzerland
"Condit, Azubah C. ond.",±1810-1844,261,,,United States of America
"Coolsma, S., zdl",1840-1926,262,,,Netherlands
"Cornet, Pieter, zdl,",1879-1969,263,,,Netherlands
"Coutrier, Louise",1910-,264,,,Netherlands
"Crommelin, ds. Daniël, zdl",1879-1954,265,,,Netherlands
"Cseszkó, G., arts",1902-1945,266,,,Hungary
"Culemann, Herrmann H., zdl.",1855-1909,267,,,Germany
"Cusell, C.J., zdl",1837-1869,268,,,Netherlands
"Dabritz, Edward W., ond.",,269,,,United States of America
"Dake, W.J.L., arts",1890-1973,270,,,Netherlands
"Dalen, Marinus van, zdl",1831-1899,271,,,Netherlands
"Dam, mw. zr. C. van",,272,,,Netherlands
"Dammerboer, J., zdl",1830-1925,273,,,Netherlands
"Damschen, Joh., zdl.",1911-1966,274,,,Germany
"Dannert, Theodor, zdl.",1875-1959,275,,,Germany
"Dannert, dr. W., arts",1894-1981,276,,,Germany
"Dassel, Adolf, zdl.",1866-1945,277,,,Germany
"Dedecker, O., zdl. ()",1887-1968,278,,,Belgium
"Deibler, C. Russell",1905-1943,279,,,United States of America
"Deinum, Sjoukje",-1934,280,,,Netherlands
"Dekker, Hendrik, zdl.",1861-,281,,,Netherlands
"Dekker-Drescher, mw., zie Drescher",,282,,,
"Delfos, ds. A.",1849-1923,283,,,Netherlands
"Denninger, Ernst Ludwig, zdl.",1815-1876,284,,,Germany
"Denyes, J.R.",1869-1936,285,,,United States of America
"Dietrich, Carl",1828-1876,286,,,Germany
"Dietzel, F.W. L, arts",1902-1942,287,,,Germany
"Dijk, A. van, zdl",1878-1942,288,,,Netherlands
"Dijk, D.J. van, zdl.",1898-1987,289,,,Netherlands
"Dijk, ds. K. van",1877-1945,290,,,Netherlands
"Dijk, Tjalling van, ond.",1885-1971,291,,,Netherlands
"Dijk, ds. W. van",1889-1987,292,,,Netherlands
"Dijkema, Klaas, ond.",1886-1970,293,,,Netherlands
"Dijken, H. van, zwm > zdl",1832-1900,294,,,Netherlands
"Dijkhuis, Engelbert, zdl",1900-1981,295,,,Netherlands
"Dijkhuis, Joh., zdl",1904-1942/5,296,,,Netherlands
"Dijkstra, A., zdl",1840-1893,297,,,Netherlands
"Dijkstra, Hendrika Hermina, ond.",,298,,,Netherlands
"Dimbleby, Kate",1858-1923,299,,,United Kingdom
"Dingstee, zr. Alida M. v.",1884-1973,300,,,Netherlands
"Dirks, David, zdl.",1874-1926,301,,,Russia
"Dirks, Heinrich, zdl.",1842-1915,302,,,Russia
"Dittmar, F.J.J.",,303,,,Germany
"Dittmar, Grace M., dl.",1910-1942,304,,,United States of America
"Dixon, Herman, zdl.",1908-1994,305,,,United States of America
"Dolman, C., zdl",1911-1991,306,,,Netherlands
"Dommers, A., zdl",1796/7-1841,307,,,Netherlands
"Donselaar, W.M., zdl",1820-1883,308,,,Netherlands
"Doorn, dr. C.L. van, zdl",1896-1975,309,,,Netherlands
"Doren, William Th. van, zdl.",,310,,,United States of America
"Dörmann, Friedrich, zdl.",1901-1983,311,,,Germany
"Dornsaft, Joh. Wilhelm, zdl.",1847-1915,312,,,Germany
"Dorst, Sybrig, ond.",1905-1992,313,,,Netherlands
"Doty, Elihu, zdl.",1809-1864,314,,,United States of America
"Douwes, D., zdl",-1835,315,,,Netherlands
"Doyer, Thomas, zdl.",1822-1861,316,,,Netherlands
"Dreckmeier, G.J., arts",1895-1992,318,,,Netherlands
"Drescher, zr. M. (Dekker-)",,319,,,Netherlands
"Dresselhaus, Bernhardine",1881-1925,320,,,Germany
"Drinhaus, Peter",1889-1950,321,,,Germany
"Drost, H., zdl.",1865-1940,322,,,Netherlands
"Drost, zr. H.J.",,323,,,Netherlands
"Droste, Jan Frederi(c)k, zdl.",1864-1915?,324,,,Netherlands
"Duinker, F., zdl.,",1912-1943,325,,,Netherlands
"Duker, Willem, ond.",1913-2010,326,,,Netherlands
"Dunnebier, W., zdl",1877-1955,327,,,Netherlands
"Durkstra, ds. Eduard",1909-1987,328,,,Netherlands
"Dürr, dr. Johannes, ond.",1904-1972,329,,,Switzerland
"Dutton, Emily",1860-1939,330,,,United Kingdom
"Duymaer van Twist, A.J., arts",1867 -1923,331,,,Netherlands
"Duyvendak, H.W., zdl",1893–1950,332,,,Netherlands
"Eck, R. van, zdl",1842-1901,333,,,Netherlands
"Eckert, August, zdl.",1871-1902,334,,,Germany
"Edborg, Ms. V.M. ()",,335,,,Sweden
"Eelen, H.G. van, zdl",1888-1958,336,,,Netherlands
"Eelsing, Hendrik (NL)",1896-1971,337,,,
"Eendenburg, S. van, zdl",1853-1912,338,,,Netherlands
"Eerland, L.D., arts",1897-1977,339,,,Netherlands
"Eggenberger, Agathe, ond.",1904-1991,340,,,Switzerland
"Eggink, H.J., zdl",1875 -1940,341,,,Netherlands
"Eggink, Jacoba Maria, ond.",1912-2008,342,,,Netherlands
"Eglin, zr. Anna Maria",1893-1970,343,,,Germany
"Eigen, P.K. Otto von, ond.",1888-1984,344,,,Germany
"Eigenbrod, Friedrich, zdl",1885-1936,345,,,Germany
"Eijgendaal, J., zdl",1897-1981,346,,,Netherlands
"Eijgenraam, Fr., ond.",1898-1967,347,,,Netherlands
"Eijk, ds. P.H. van",1899-1960,348,,,Netherlands
"Eijkhout, Anna S. van, ond.",1882-1923,349,,,Netherlands
"Eijkman, Koenraad Hein, arts",1898-1950,350,,,Netherlands
"Eklund, Rev. Abel",,351,,,United States of America
"Ekris, Arris van, zdl",1830-1868,352,,,Netherlands
"Ellen, zr Alida M.J.",1908-1970,353,,,Netherlands
"Ellen, G.J., zdl",1876-1957,354,,,Netherlands
"Ellinghaus, Emil, zdl.",1881-1952,355,,,Germany
"Emmerik, Adolf Th. Jac. van",1858-1924,356,,,Netherlands
"Emmerik-Cleverly, Alice Corn.",-1941,357,,,United Kingdom
"Endt, A. van der",1881-1969,358,,,Netherlands
"Endt, Johanna P. van der, ond.",1894-1920,359,,,Netherlands
"Engelberts, zr. A.E.W.Ch.",1898-1965,360,,,Netherlands
"Engelen, C.A.J. van, zdl",1873-1949,361,,,Netherlands
"Engelen, Mej .M.B. van, arts",1911-1977,362,,,Netherlands
"Engelmann, dr. W.H.",1836-1868,363,,,Netherlands
"Enklaar, dr. I.H., theoloog",1911-1994,364,,,Netherlands
"Ennis, Jacob, zdl.",,365,,,United States of America
"Enserinck, zr. Amalia Const.",1872-1928,366,,,Netherlands
"Epple, mw. A.",1909-,367,,,Germany
"Epple, Karl David, zdl.",1877-1944,368,,,Germany
"Eriks, Neeltje, diacones",1883-1945?,369,,,Netherlands
"Erkelens, J.L., ond.",1908-1984,370,,,Netherlands
"Erlecke, F.K.",,371,,,Germany
"Erlen, Paul von, zdl.",1877-1914,372,,,Germany
"Essen, A. van, zdl",1877-1953,373,,,Netherlands
"Essen, A.Ch. van, zwm > zdl",1832-±1905,374,,,Netherlands
"Esser, dr. ds. B.J.",1876-1944,375,,,Netherlands
"Esser, Cornélie Cath. H., ond.",1911-1945,376,,,Netherlands
"Esser, dr. Julius Pieter, zdl.",1852-1889,377,,,Netherlands
"Esser, Sam. Jonathan David",1874-1948,378,,,Netherlands
"Esser, Samuel Jonathan",1900-1944,379,,,Netherlands
"Evans, Charles, zdl.",-1869,380,,,United Kingdom
"Everaars, Pieter R., ond.",1884-1955,381,,,Netherlands
"Exel, Frederick Hendrik, zwm",1828-1881,382,,,Netherlands
"Faass, G.",,383,,,Germany
"Faassen, Gradus",1880-1971,384,,,Netherlands
"Faber, C.W., ond.",1905-1945,385,,,Netherlands
"Fankhauser, Ms. Rose E.",,386,,,United States of America
"Fast, Joh. Gerhard, zdl.",1861-1941,387,,,Russia
"Fast, J.J., arts",1892-1945,388,,,Germany
"Fastenrath, W., zdl",1906-,389,,,Germany
"Fauser, Fr. August, zwm",1827-1865,390,,,Germany
"Feher, K.E. von, arts",1883-,391,,,Hungary
"Fehr, Adam, zdl.",1850-1932,392,,,Germany
"Feige, Ernst Wilhelm, zdl.",1840-1901,393,,,Germany
"Feist, zr. Käthe L.A.",1892-1979,394,,,Germany
"Feldsieper, zr. Auguste",1891-,395,,,Germany
"Ferguson, C., zdl",1891-1934,396,,,Netherlands
"Fiebig, Friedrich, zdl.",1887-,397,,,Germany
"Fiedler, J.F. , zdl",1807/8-1837,398,,,Germany
"Finke, Wilhelm Heinrich, zdl.",1885-1964,399,,,Germany
"Finn, J., zdl.",1789-1853,400,,,Netherlands
"Finster, Lewis V.",1873-1977,401,,,United States of America
"Fischer, Friedrich, zdl.,",1880-1960,402,,,Germany
"Fischer, Hugo, zdl.",1883-1951,403,,,Germany
