nama orang,geb/overl.,id,actual id,Unnamed: 4,origin
"Fischer, dr. Isaac Antoon, arts",1896 -1971,404,,,Netherlands
"Fisher, Rev. Albert H.",,405,,,United States of America
"Fisk, George Elba",1905-1977,406,,,United States of America
"Flach, Gustav Johann, zdl.",1908-,407,,,Switzerland
"Flach, J.C., arts",1884-1964,408,,,Netherlands
"Flender, Wilhelm, zdl.",1911-2000,409,,,Germany
"Flick, Alfred, zdl.",1907-1979,410,,,Germany
"Flückiger, P., zdl.",1895-1958,411,,,Switzerland
"Föhl, zr. W.M. ( Zwits.?)",1884-1939,412,,,Germany
"Fokkema, Hetty",1905-1986,413,,,Netherlands
"Fonkert, zr. H.",1887-1966,414,,,Netherlands
"Fortgens, Jac., zdl",1876-1955,415,,,Netherlands
"Franken, Carl, zdl.",1881-1942,416,,,Germany
"Frederiksen, K/C.",,417,,,Scandinavia
"Freeman, Rev. Mark",1881-1959,418,,,United States of America
"Freitag, Eduard, zdl.",1903-1932,419,,,Germany
"Frickenschmidt, Chr.W., zdl.",1856-1935,420,,,Germany
"Fries, Eduard, zdl.",1877-1923,421,,,Germany
"Fries, Ms. Ruth M.",,422,,,United States of America
"Frouws, Jac., ond.",1894-1933,423,,,Netherlands
"Fuchs, Nikolaus, zdl.",1877-1931,424,,,Germany
"Gabriel, Carl, zdl.",1880-1952,425,,,Germany
"Gaikhorst, T.A., ond.",1883-,426,,,Netherlands
"Garnerus, Annette, ond.",1889-..,427,,,Germany
"Gazendam, zr. Grietje",1891-1963,428,,,Netherlands
"Geer, jvr. zr. J.M. de, diacones",1878-1945,429,,,Netherlands
"Geerdink, A., zdl",1829-1878,430,,,Netherlands
"Geerse-Matze, P.I., zie Matze",,431,,,
"Gehrels, C.A., arts",1881-1921,432,,,Netherlands
"Geissler, Gustav A.W., zdl,",1865-1935+,433,,,Netherlands
"Geissler, J.G. zwm",1830-1870,434,,,Germany
"Gelder, zr. C.J.M. van",,435,,,Netherlands
"Geleijnse, ds. M.",1893-1985,436,,,Netherlands
"Genderen, zie van den Hoven van Genderen",,437,,,
"Gennip, Hindrik Doewes v., zdl",1822-1866,438,,,Netherlands
"Gericke, G.F.A., zdl.",1801/2-'34,439,,,Germany
"Gericke, J.F.C.",1799-1857,440,,,Germany
"Gericke, Paul A., zdl.",1865-1926,441,,,Germany
"Gericke, Wilhelm Ed. Friedr., zdl",1863-1940,442,,,Germany
"Gerlach, Georg, zdl",1885-1946?,443,,,Germany
"Giezendanner, zr. Elise",1906-1997,444,,,Switzerland
"Gijsman, P.N., zdl",1844/5-1919,445,,,Netherlands
"Gillis, Walter Emslie ()",1974-1954,446,,,Canada
"Gink, zr. J.M. van",1881-1965,447,,,Netherlands
"Ginsberg, Gustav, zdl.",1872-1943,448,,,Germany
"Glastra, zr. M.",1899-1985,449,,,Netherlands
"Gnirrep, Anna",,450,,,Netherlands
"Godau, Anna Rosine",1888-,451,,,Germany
"Godwin, Mrs.",,452,,,United States of America
"Goedhart, C., arts",,453,,,Netherlands
"Goemaat, Louise  (GZbl 1931, 198; 1937, 217)",1904-1992,454,,,Netherlands
"Goes, Wilhelmus van der, zwm",1823-1879?,456,,,Netherlands
"Goetsch, August W.F., zdl",1844-1870,457,,,Germany
"Gokkel, zr. Aletta Maria",1874-,458,,,Netherlands
"Gonggrijp, Justus R.P.F., zdl  1831-1861)",1827-1909,459,,,Netherlands
"Goossen, zr. Helena",1889-1945,461,,,Russia
"Goossens, ds. S.J.P.",1902-1983,462,,,Netherlands
"Goris, mw. A.M., ond.",,463,,,Netherlands
"Gort, zr. G.",1897-,464,,,Netherlands
"Goslinga, J.J.J., arts",1906-1987,465,,,Netherlands
"Gotschall, Newton I., ond.",1893-1979,466,,,United States of America
"Göttin, J.W.",,467,,,Switzerland
"Goudoever, J. van, ond.",1900-1962,468,,,Netherlands
"Goudswaard, A., zdl",1830-1864,469,,,Netherlands
"Gouweloos, M.J., zdl",1898-1942,470,,,Netherlands
"Graaf, zr. Adriana Anneke de",1906-1974,471,,,Netherlands
"Graaf, C. de, zdl",1846-1905,472,,,Netherlands
"Graaf, zr. Car. Louise de",-1962,473,,,Netherlands
"Graaf, dr. H.J. de, ond.",1899-1984,474,,,Netherlands
"Graaf, K. de, zdl",1909-1944,475,,,Netherlands
"Graafland, N., ond.",1827-1898,476,,,Netherlands
"Graafstal, Dominicus",1871-1927,477,,,Netherlands
"Graafstal-vd Steur, S.M.",1868-1962,478,,,Netherlands
"Gräb, Karl Ludwig ()",1873-1939,479,,,Belgium
"Gräber, Ida",1980-1953,480,,,Germany
"Gramberg, K.P.C.A., arts",1895-1996,481,,,Netherlands
"Gramberg, ds. Th.W.B.G.",1897-1983,482,,,Netherlands
"Grashuis, mr. Gerhardus Jan",1835-1920,483,,,Netherlands
"Grau, W. zdl",1886-1924,484,,,Germany
"Graumann, Wilhelm",1906-2000,485,,,Germany
"Griebenow, Ms. Viola M.",,486,,,United States of America
"Griffin, David",,487,,,United States of America
"Grim(m), Johan P., zwm (D)",1812-1857,488,,,Netherlands
"Groep, Jacob van de",1885-1977,490,,,Netherlands
"Groesbeek, Cornelis",1874-1953,491,,,United States of America
"Grohe, A., zwm",1825-1891,492,,,Germany
"Grondel, Pieter Joh., zdl",1901-1955,493,,,Netherlands
"Grondsma, zr. Hilly",1898-1942/5,494,,,Netherlands
"Groot, Albertus Karel de, zdl.",1896-1975,495,,,Netherlands
"Groot, J.H. de, zdl",1891-1973,496,,,Netherlands
"Groot, dr. Klaas Pieter, arts",1888-1965,497,,,Netherlands
"Groot, zr. W.M. de",1907-1998,498,,,Netherlands
"Grootendorst, zr. G., zie G. Voordouw-Grootendorst",,499,,,
"Guillaume, Henri Alouis zdl",1865-1930,500,,,Germany
"Gunther, P., zwm",1833-1888,501,,,Netherlands
"Güse, Theodor, arts",1904-1936,502,,,Germany
"Guther, Ferdinand, verpleger",1905-1990,503,,,Germany
"Gützlaff, Karl Fr. A.",1803-1851,504,,,Germany
"Haaft, Dirk Albertus ten, zdl",1908-1988,505,,,Netherlands
"Haag, Pieter Bernardus, zdl",1844-1925,506,,,Netherlands
"Haan, A. de, zdl",1854-1921,507,,,Netherlands
"Haan, Enno, zdl",1845-1898,508,,,Netherlands
"Haan, J.G. de, zdl",1876-1959,509,,,Netherlands
"Haan, Fannie M. de, ond.",,510,,,Netherlands
"Haandrikman, G., diakones",1898-1986,511,,,Netherlands
"Haas, C. de, verpleger",,512,,,Netherlands
"Haas, ds. Willem Samuel de",1883-1973,513,,,Netherlands
"Haffner, Hugo, zdl.",1903-1982,514,,,Germany
"Hager, Fr. Chr. Wilhelm, zdl",1840-1900,515,,,Germany
"Haibach, Wilhelm, zdl",1880-1953,516,,,Germany
"Hall, Rev. C.J.",,517,,,United States of America
"Hamacher, Alwine, verpleegster",1889-1954,518,,,Germany
"Hamel, Rev. J. Carel",1897-1979,519,,,Netherlands
"Hamer, Gerard Pieter, ond.",1882-1966?,520,,,Netherlands
"Hampp, Herrmann, zdl",1882-,521,,,Germany
"Hangelbroek, Hendr. Marg. Reb.",1903-,523,,,Netherlands
"Hansen, Mina",,524,,,Scandinavia
"Hanstein, Ludwig, zdl",1853-1929,525,,,Germany
"Hardeland, August, zdl",1814-1891,526,,,Germany
"Harder, Albert Gottfried, zdl",1870-1945,527,,,Germany
"Harder, Alfriede",1896-1971,528,,,Germany
"Harmsen, Leendert Karel, zdl",1844-1919,529,,,Netherlands
"Hartgerink, Jan Willem, arts",1887-1948,530,,,Netherlands
"Hartgerink, zr Elisabeth Louise Thérèse",1891-,531,,,Netherlands
"Harthoorn, S.E., zdl",1831-1883,532,,,Netherlands
"Hartig, F.",1804-1854,533,,,Germany
"Hartfeld, zr. S.",,534,,,Germany
"Hartweg, Friedrich Wilhelm, zdl",1891-1935,535,,,Germany
"Hartwig, Friedrich, zdl",1880-1930,536,,,Germany
"Haspers, Geziena",1906-1979,537,,,Netherlands
"Hasselmeyer, zr. E.",,538,,,Netherlands
"Hasselt, F.J.F. van, zdl",1870-1939,539,,,Netherlands
"Hasselt, J.L. van, zdl",1839-1930,540,,,Netherlands
"Hasselt, W.H.Th. van, zdl",1872/3-1930,541,,,Netherlands
"Hawthorne, Kath. Rader, zdl",1891-1980,542,,,United States of America
Hazewindus. zr. H.,1902-1986,543,,,Netherlands
"Hebbenaar, zr. Elberta C.L.",1909-1942,544,,,Netherlands
"Hebeler, Heinrich, zdl",1905-1982,545,,,Germany
"Hecker, Philipp. zdl",1892-1984,546,,,Germany
"Heemskerk, mw. M., ond.",,547,,,
"Heen, zr. A.",,548,,,Netherlands
"Heerig, Chr., zdl",1867-1918,549,,,Germany
"Heeringa, Gosse, ond.",1906-1985,550,,,Netherlands
"Heertjes, N., ond.",1880-1953,551,,,Netherlands
"Heidema, zr. A.J.  Foto GZbl 1936, 111",1903-1997,552,,,Netherlands
"Heider, Heinrich",1848-> 1892,554,,,Germany
"Heienbrock, Wilhelm, zdl",1855-1949,555,,,Germany
"Heijmering, G., zdl",1792-1867,556,,,Netherlands
"Hein, Piet, ond.",1895-,557,,,Netherlands
"Heine, Carl W., zdl",1833-1897,558,,,Germany
"Heine, Ludwig",1855-1884,559,,,Germany
"Heintze, K.E.E., zdl",1897-1981,561,,,Germany
"Hekstra, Doeke, ond.",1901-1972,562,,,Netherlands
"Hekstra-Koolstra, M.A.",1903-1945,563,,,Netherlands
"Held, dr. Gerrit Jan",1906-1955,564,,,Netherlands
"Hellendoorn, G.J., zdl",1792/3-1839,565,,,Netherlands
"Heller, Arn. H.O., zdl.",1864-1936,566,,,Germany
"Hellweg, Friedrich Wilh., zdl",1855-1886,567,,,Germany
"Helsdingen, mw. J.M. van",1887-1962,569,,,Netherlands
"Henkel, Anna",1888-1976,570,,,Germany
"Hendrich, Carl Christian, zdl",1837-1894,571,,,Germany
"Hendrich (Jr.), Carl Chr., zdl",1878-1964,572,,,Germany
"Hendriks, Hein, zdl",1854-1917,573,,,Netherlands
"Henke, Dorothea",1875-1945,574,,,Germany
"Henking, H., zdl",1884-1962,575,,,Switzerland
"Hennemann, Johann Ph., zdl",1835-1913,576,,,Germany
"Hensgen, Paul, zdl",1879-1918,577,,,Germany
"Hering, F.W. zdl",1899-1942,578,,,Germany
"Herling, Wilhelm. zdl",1874-1912,579,,,Germany
"Hermann, Carl Richard, zdl",1869-1905,580,,,Germany
"Hermann, Friederike L.",1879-1916,581,,,Germany
"Herrmann, C.T., zdl",1808-1851,582,,,Germany
"Hes, Joh. Cornelia, ond.",1884-1951,583,,,Netherlands
"Heuschmann, zr. Marie",1898-1964+,584,,,Germany
"Heusdens, H.C., zdl",1904-1942,585,,,Netherlands
"Heuvel, M van den",,586,,,Netherlands
"Heyer, Philipp Jakob, zdl",1807-,587,,,Germany
"Hibbard, Rev. Elisha R.",-1945+,588,,,United States of America
"Hiebink Rooker, J., zdl",1866-1943,589,,,Netherlands
"Hijkoop, Maarten Wl., diakon",1885-1981,590,,,Netherlands
"Hildering, ds. H.A.C.",1898-1986,591,,,Netherlands
"Himmelmann, J.H., zdl",-1841,592,,,Germany
"Hiorth, F.W. ()",,593,,,United Kingdom
"Hippenstiel, Ludwig, zdl",1971-1945,594,,,Germany
"Hissink, Jac. Assuerus",1880-1941,595,,,Netherlands
"Hoefman, Roelf",1900-1979,596,,,Netherlands
"Hoekendijk, C.J., zdl",1873-1948,597,,,Netherlands
"Hoekendijk, zr. Marg. Louisa",1902-1935,598,,,Netherlands
"Hoeksema, Auktje, ond.",1908-±2000,599,,,Netherlands
"Hoekstra, arts G.J.",1907-1987,600,,,Netherlands
"Hoefen/Höfen, Carl L.A., zdl",1817-1890,601,,,Germany
"Hoezoo, Wessel, zdl",1826-1896,602,,,Netherlands
"Hoffmann, Martha",1899-1975,603,,,Germany
"Hoffmann, Wilhelm",1868-1920,604,,,Germany
"Hofman, zr. L.",1902-,605,,,Netherlands
"Hofman, Ph.H.C., zdl",1876/7-1919,606,,,Netherlands
"Hofmeister, Ernst Eduard",,607,,,Germany
"Hogerwaard, T. zdl",1908-1972,608,,,Netherlands
"Holland, Ms. A.J.",,609,,,United States of America
"Hollander, zr. H.H.B.",1907-2000,610,,,Netherlands
"Holmberg, Ms. Hilda. C.",,611,,,United States of America
"Holtz, F.W., zdl.",1799-1843,612,,,Germany
"Homan, M., ond.",1899-1991,613,,,Netherlands
"Hondius, mw. M.M., ond.",1904-1964,614,,,Netherlands
"Hooft, L.K. van 't, arts",1884-1938,615,,,Netherlands
"Hoogstraten, ds. S.A. van, zdl (!)",1896-1945,616,,,Netherlands
"Hoppe, Erwin, zdl",1906-1988,617,,,Germany
"Hoppe, F.W.H., zdl",1892-,618,,,Germany
"Hörchner, mw. J. G., arts",1905-1995,619,,,Netherlands
"Horley, Rev. Wm. Edw.",1870-1931,620,,,United States of America
"Horn, E.B.G. (Georg), ond.,",1888-1971,621,,,Germany
"Horn, H.A.",,622,,,United States of America
"Horn, Siegfried H.V.",1908-1993,623,,,Germany
"Hörsch, zr. M.",1900-1983,624,,,Switzerland
"Horst, F.C. van der, arts",1903-1977,625,,,Netherlands
"Horstman, Reginus Joh., zdl",1856-1924,626,,,Netherlands
"Houter, J.P.D. den, zdl",1871-1903,627,,,Netherlands
"Höveker, J.E., zdl,",1798-1873,628,,,Netherlands
"Hoven van Genderen, G. vd, zdl,",1915-1985,629,,,Netherlands
"Höweler, dr. Th.A.H., arts",1907-1994,630,,,Netherlands
"Howell, Ms. Mary E.",,631,,,United States of America
"Huber, J., zdl",1885-1951,632,,,Switzerland
"Hübert, Johann, zdl.",1864-1944,633,,,Russia
"Hudel, Ernst, zdl",1903-1996,634,,,Germany
"Hueting, André, zdl",1868-1961,635,,,Netherlands
"Huisingh, S., zdl",1848-1902,636,,,Netherlands
"Huisman, zr. K.",,637,,,Netherlands
"Huitema, mw. dr. W., arts",1907-1990+,638,,,Netherlands
"Hulleman, zr. A.M., diakones",1898-1985,639,,,Netherlands
"Hulman, zr. A.F.G.",na 1956,640,,,Netherlands
"Hulman, Maria Antonia",1881-1963,641,,,Netherlands
"Hulstra, A., zdl",1865-1940,642,,,Netherlands
"Hulzebos, zr. E., diakones",1870-1945,644,,,Netherlands
"Hungerford, E.K.G.",,645,,,Austria
"Hupe, Johann Michael Carl, zdl",1818-1861,646,,,Germany
"Hupperts, Johann G., zdl",1812-1859,647,,,Germany
"Huvers, zr. H.J., diacones",1897-1978,648,,,Netherlands
"Hutchinson, Maude",,649,,,United States of America
"Huysingh, David",1855-1904,650,,,Netherlands
"Iken, zr. Alida  d.v. J. Iken, geb. Depok, † Btv",1890-1931,651,,,Netherlands
"Iken, J., zdl",1881-1944,653,,,Netherlands
"Illing, Helmut, zdl",1907-1979,654,,,Germany
"Ingham, E.",,655,,,United Kingdom
"Ingwersen, ds. H.Ph.",1878-1950,656,,,Netherlands
"Iperen, zr. Cornelia van",1894-1997,657,,,Netherlands
"Irle, Heinrich, zdl",1906-1983,658,,,Germany
"Irle, Tillman E., zdl.",1848-1921/2,659,,,Germany
"Israel, Johan H.Chr., zdl",1850-1935,660,,,Netherlands
"Jackson, Fred C.",-1942,661,,,United States of America
"Jacobs, Johan Gerard R.",1860-1920,662,,,Netherlands
"Jaesrich, G. , zwm",-1866,663,,,Germany
"Jaffray, Margaret ()",1907-1959,664,,,Canada
"Jaffray, Robert A. ()",1873-1945,665,,,Canada
"Janfrüchte, E., zdl",1844-1923,666,,,Germany
"Jansen, Arnoldus Hendrik",-1931,667,,,Netherlands
"Jansen, Gerben Jacob, ond.",1895-1944,668,,,Netherlands
"Jansen-v Engelen, M.B.",1911-1977,669,,,Netherlands
"Jansen Klomp, G.H., diakoon",1886-1952,670,,,Netherlands
"Jansen Schoonhoven, L., zdl",1905-1984,671,,,Netherlands
"Jansz, Cornelis Pieter, ond.",1886-1973,672,,,Netherlands
"Jansz, Pieter, zdl.",1820-1904,673,,,Netherlands
"Jansz, Pieter Anthonie, zdl",1853-1942/5,674,,,Netherlands
"Jaspers, G. arts",,675,,,Netherlands
"Jellesma, J.E., zdl",1816-1858,676,,,Netherlands
"Jenken, zr. Geertruida W.G.",1902-1959,677,,,Netherlands
"Jens, F.J., zdl",1889-1944,678,,,Netherlands
"Jens, K.Th., zdl",1893-1974?,679,,,Netherlands
"Jens, W.L., zdl",1849-1925,680,,,Netherlands
"Jens(s)en, Ch.",,681,,,Scandinavia
"Jenssen, N.",,682,,,Scandinavia
"Jeschawitz, Horst, zdl",1901-1975,683,,,Germany
"Johannissen, S.",,684,,,Scandinavia
"Johannsen, Peter Hinrich, zdl",1839-1898,685,,,Germany
"Johannsen, Peter, arts",1894-1950,686,,,Germany
"Jong, zr. Geertje de",1911-1998,687,,,Netherlands
"Jong, Gjalt de, ond.",1900-1987,688,,,Netherlands
"Jong, dr. Jan Pieter de, arts",1901-1976,689,,,Netherlands
"Jong, Leentje de",1894-,690,,,Netherlands
"Jong, zr. T. de",1894-,691,,,Netherlands
"Jonge, mw. dr. J.A. de, arts",1892/3-1978,692,,,Netherlands
"Jonkman, H., ond.",1893-1957,693,,,Netherlands
"Joost, R.P.A.Ch. van, arts",1902-1943/5,694,,,Netherlands
"Jordan, Karl-Heinz",1911-1994,695,,,Germany
"Joustra, Meint, zdl",1871-1926,696,,,Netherlands
"Juda, E.E., arts",,697,,,Netherlands
"Judge, Bernard",1879-1959,698,,,Austria
"Juffernbruch, Fred., zdl",,699,,,Germany
"Jung, Georg Johannes, zdl",1862-1914,700,,,Germany
"Jungmichel, J.C., zdl",1787-1843,701,,,Germany
"Jüngst, A.",1860-1921,702,,,Germany
"Jürgens, Johannes, zdl",1887-1952,703,,,Germany
"Juutilainen, H. ()",,704,,,Finland
"Kaal, Hermanus, ond.",1902-1988,705,,,Netherlands
"Kabelitz, H.K.O., zdl.",-1929,706,,,Germany
"Kaiser, Herrmann W.F., zdl.",1869-1953,707,,,Germany
"Kaiser, Wilhelm, zdl",1904-1989,708,,,Germany
"Kal, E.Th., arts",1911-1966,709,,,Netherlands
"Kam, Joseph, zdl/pred.",1769-1833,710,,,Netherlands
"Kamma, dr. F.C., zdl",1906-1987,711,,,Netherlands
"Kammann, Wilhelm, zdl",1909-1942,712,,,Germany
"Kamp, zr. Frieda",1888-1964,714,,,Germany
"Kamp, Friedrich W., zdl.",1853-1928,715,,,Germany
"Kamps, J.D., zwm",1842-1871,716,,,Netherlands
"Kappner, Emil Oskar, zdl",1878-1934,717,,,Germany
"Karbe, F.W., zdl",1793-1828,718,,,Germany
"Karelse, ds. Jacobus",1900-1995,719,,,Netherlands
"Kate, B. Berends ten, ond.",1882-1938,720,,,Netherlands
"Kate, zr. H.F. ten",1894-1980,721,,,Netherlands
"Kate, Marius Anne ten, ond.",1893-1979,722,,,Netherlands
"Kate, Pieter ten, zdl  † 29-11-18",1880-1918,723,,,Netherlands
"Kate, zr. P.F. ten",1904-1995,724,,,Netherlands
"Kats, Jacob, zdl",1875-1945,725,,,Netherlands
"Keijser, P. de, zdl",1803/4-1840,726,,,Netherlands
"Keil, Klara, diakones",±1885-1937+,727,,,Germany
"Kekem, E.G. van, zdl",1902-1971,728,,,Netherlands
"Kelling, Fr., zwm",1829-1900,729,,,Germany
"Kelling, M., zdl",1863-1912,730,,,Netherlands
"Kelling, Paul, zdl",1865-1924,731,,,Netherlands
"Kemp, Margaret",,732,,,United States of America
"Kempen, dr. A.E. van arts",1909-?,733,,,Netherlands
"Kempers, zr. C., diakones",1900-2000,734,,,Netherlands
"Kersten, Joh. Gottlieb, zdl ()",1860-1900,735,,,Germany
"Kessel, Valentin, zdl",1850-1932,736,,,Germany
"Ketel, dr. Arie Pieter, arts",1894-1971,737,,,Netherlands
"Keuch, Wilhelm, zdl",1903-1930,738,,,Germany
"Keuchenius, ds. Adr. François",1895-1944,739,,,Netherlands
"Keulemans, zr. A.F.C.",1912-2006,740,,,Netherlands
"Keyser, P., zdl",1801/2-1940,741,,,Netherlands
"Kieft, Nicolaas, zdl",1897-1942/5,742,,,Netherlands
"Kienlein, Heinrich, zdl",1876-1929,743,,,Germany
"Kijftenbelt, F., zdl",1835-1908,744,,,Netherlands
"Kijne, I.S., zdl",1899-1970,745,,,Netherlands
"Kime, Dallas Spencer",1889-1985,746,,,United States of America
"Kind, Fr. Chr. Wilhelm, zdl",1830-1859,747,,,Germany
"Kiss, Andreios von, arts",,748,,,Hungary
"Kissing, Margarete",1905-1998,749,,,Germany
"Klaassen, Johann, zdl.",1872-1950,750,,,Russia
"Klaassen, zr. Maria",1906-,751,,,Germany
"Klaassen, Thomas Fred., zdl",1836-1871,752,,,Netherlands
"Klaiber, J., zdl",1896-1962,753,,,Switzerland
"Klaiss, Johannes, ond.",1905-1962,754,,,Germany
"Klammer, J. Carl, zdl.",1826-1919,755,,,Germany
"Klappert, Erich, zdl",1908-1982,757,,,Germany
"Klarenbeek, W.N., zdl.",1888-1945,758,,,Netherlands
"Klaus, Armin V.",,759,,,United States of America
"Klaver, Piet",1890-1970,760,,,Netherlands
"Klaveren, Richard D. van",,761,,,United States of America
"Klein, zr. Elisabeth",1905-,762,,,Netherlands
"Kleine, Heinrich de",1901-1970,763,,,Germany
"Kleinjan, D.J., timmerman, smid",1883-1915,764,,,Netherlands
"Kleyn, dr. L.J., arts",1908-1944,765,,,Netherlands
"Klift, H. van der, zdl",1885-1952,766,,,Netherlands
"Klijnstra, Wolke, zdl",1864-1907,767,,,Netherlands
"Klinkert, H.C., zdl.",1829-1913,768,,,Netherlands
"Knecht, P.",1793/4-1823,769,,,Switzerland
"Ködding, Mathilde",1878-1951,770,,,Germany
"Ködding, Wilhelm, zdl",1837-1897,771,,,Germany
"Koelewijn, Dirk, ond.",1869-1936,772,,,Netherlands
"Koene, zr. Agatha Maria",1909-,773,,,Netherlands
"Koeverden Brouwer, G.H. v,an",1905-1953+,774,,,Netherlands
"Kok, A., zdl",1885-1970,775,,,Netherlands
"Kok, Dirk, zdl",1890-1944,776,,,Netherlands
"Kolk, Jan Christoffel, zdl",1908-1987,777,,,Netherlands
"Kölling, W.J.",,778,,,Germany
"Kombrink, zr. M.",-1974,779,,,Netherlands
"Könemann, Willem, zdl",1905-1964,780,,,Netherlands
"Kooi, zr. Ietje",1906-,781,,,Netherlands
"Kooistra, A., zdl",1894-1969,782,,,Netherlands
"Koole, Jacob, ond.",1897-1944,783,,,Netherlands
"Koomen, P. de, ond.",1890-,784,,,Netherlands
"Koops-Veldkamp, ny. zr. C.",,785,,,Netherlands
"Korvinus, Hinka Laura, ond.",1913-1987,786,,,Netherlands
"Korvinus, ds. L.W.",1910-1975,787,,,Netherlands
"Koster, Johan Philip Daniel, zdl",1829-1864,788,,,Netherlands
"Kraemer, dr. H.",1888-1965,789,,,Netherlands
"Krafft, dr. A.J.C., ond.  theoloog, historicus, geograaf",1892-1964,790,,,Netherlands
"Kramer, Friedrich, zdl",1844-1920,792,,,Germany
"Kranz, Sophie P.",-1896,793,,,Germany
"Krautschick, A.I.",,794,,,Germany
"Kreck, Fritz, zdl",1905-1982,795,,,Germany
"Kreemer, J., zdl",1844/5-1907,796,,,Netherlands
"Krieg, Elfriede, ond.",1889-> 1952,797,,,Germany
"Krijger-Hulleman, A.M., zie Hulleman, A .M.",,798,,,
"Krijger, ds. L.P.",1884-1977,799,,,Netherlands
"Krijger, D.H., verpleger",1893-1987,800,,,Netherlands
"Kroeskamp, dr. H., ond.",1897- 1977,801,,,Netherlands
"Kroeze, zr. Grietje Rensina",1903-2005,802,,,Netherlands
"Kroh, Paul, zdl.",1897-1981,803,,,Germany
"Kronshage, zr. Antonie",1884-,804,,,Germany
"Kruit, zr. Petr. van der",1897-,805,,,Netherlands
"Kruijver, zr. Maartje",1894-,806,,,Netherlands
"Krul, P., zdl",1878-1945,807,,,Netherlands
"Krumm, Ewald F.",1866-1903,808,,,Germany
"Krüsmann, F.W., zdl",-1837,809,,,Germany
"Kruyt, A., zdl",1860-1916,810,,,Netherlands
"Kruyt, dr. Alb.C., zdl",1869-1949,811,,,Netherlands
"Kruyt, D.J., diakones",1882-,812,,,Netherlands
"Kruyt, H.C., zdl.",1862-1922,813,,,Netherlands
"Kruyt sr., J., zdl",1835-1918,814,,,Netherlands
"Kruyt jr., J., ond., zdl",1893-1978,815,,,Netherlands
"Kruyt, mw. J. (""Asje""), arts",1910-1974,816,,,Netherlands
"Kruyt, zr. Maria (""Miep"")",1911-1953,817,,,Netherlands
