nama orang,geb/overl.,id,actual id,Unnamed: 4,origin
"Schmiedeskamp, mw. A., ond.",1893-1959,1230,,,Germany
"Schmidt, Friedrich",1868-1936,1231,,,Germany
"Schmidt, Isaac Chester",1887-1978,1232,,,United States of America
"Schmidt, Johannes C.A., zwm",1831-,1233,,,Germany
"Schmidt, R., zdl",1909-1960,1234,,,Germany
"Schmidt, Wilhelm, zdl",1871-1941,1235,,,Germany
"Schmitt, Hermann, zdl",1898-1942,1236,,,Germany
"Schmitt, Lydia",1897-1965,1237,,,Germany
"Schmitz, Johann Gerhard",1880-±1940,1238,,,Netherlands
"Schnatbaum, Wilhelm, zdl",1887-1961,1239,,,Germany
"Schneider, Alfred",1905-1992,1240,,,Germany
"Schneider, Friedrich G., zdl",1880-1965,1241,,,Germany
"Schneider, G.J., zdl",1890-1942,1242,,,Germany
"Schneider, Robert, zdl",1884-1961,1243,,,Germany
"Schniepp, zr. Lydia E.",,1244,,,Germany
"Schoch, M.L.W., diakones",1876-1962,1245,,,Netherlands
"Schoepe, Walter, ond.",1903-,1246,,,Germany
"Scholten, G.H. zdl",1884-1926,1247,,,Netherlands
"Scholten, G.J. arts  (zv H.H. Sch.)",±1910-1939,1248,,,Netherlands
"Scholten, Hindrik Henderikus",1881-1944,1249,,,Netherlands
"Schot, C.G., zdl",1827-1874,1250,,,Netherlands
"Schrey, Johannes, zdl",1852-1927,1251,,,Germany
"Schreiber, August W., zdl",1839-1903,1252,,,Germany
"Schreiber, Chr., zdl",1886-1965,1253,,,Germany
"Schreiber, Fr. Carl, zdl",1886-1963,1254,,,Germany
"Schreiber, Frieda",1877-1951,1255,,,Germany
"Schreiber, Dr. Werner J., zdl",1872-1941,1256,,,Germany
"Schreuder, mw. Ch.H., arts",1911-1966,1257,,,Netherlands
"Schröder, C.J.M.L. , zwm",1830-1885,1258,,,Germany
"Schröder, G.F., zdl",1868-1927,1259,,,Netherlands
"Schröder, zr. L.",,1260,,,Netherlands
"Schröder, Willem Frederik, zdl",1889-1969,1261,,,Netherlands
"Schrok, Herman Corn., arts",1907-1969,1262,,,Netherlands
"Schuh, B., zdl (Fr.)",1823/4-'62+,1263,,,
"Schuijt, Pieter, zdl",1884-1980,1264,,,Netherlands
"Schulz, Rudolf U.W., zdl",1893-1984,1265,,,Germany
"Schumann, Rudolf, zdl",1882-1948,1266,,,Germany
"Schuringa, zr. M.",1892-1986,1267,,,Netherlands
"Schuringa, zr. S.J.",1900-1983,1268,,,Netherlands
"Schut, J.A.F., zdl",1871-1931,1269,,,Netherlands
"Schütz, Philipp Chr., zdl",1838-1922,1270,,,Germany
"Schuurman, dr. B.M., zdl",1889-1945,1271,,,Netherlands
"Schuurman, zr. M.",1892-1977,1272,,,Netherlands
"Schuurmans, J., zdl",1896-1963,1273,,,Netherlands
"Schuurmans, Nic. Dirk, zdl.",1838-1908,1274,,,Netherlands
"Schwab, Ms. Elsie",,1275,,,United States of America
"Schwartz, Alfred, zdl",1905-1942,1276,,,Germany
"Schwarz, G., zdl",1892-1933,1277,,,Germany
"Schwarz, Joh. Alb. Traugott, zdl",1836-1918,1278,,,Netherlands
"Schwarz, J.G., zdl.",1800-1859,1279,,,Germany
"Schweflinghaus, Elly",1907-1993,1280,,,Germany
"Schweitzer, H., zdl",1904-1942,1281,,,Germany
"Seely, Philoma R.",,1282,,,United States of America
"Seher, Franz Heinrich, zdl",1864-1925,1283,,,Germany
"Seibel, Frida, ond.",1911-,1284,,,Germany
"Seibold, K., zdl",1887-1965,1285,,,Germany
"Senk, Paul, zdl",1902-1971,1286,,,Germany
"Shover, Rev. J.C.",,1287,,,United States of America
"Sickinger, O.E., arts",1888-1933,1288,,,Germany
"Siderius, zr. Sara",1891-1971,1289,,,Netherlands
"Siegler, Helene, ond.",1906-2002,1290,,,Germany
"Siegner, J., zdl",1909-1942,1291,,,Germany
"Siemens, Jakob, zdl.",1876-,1292,,,Russia
"Sigel, Hugo Ferd., arts",1895-1969,1293,,,Germany
"Simon, Gottfried Karl, zdl",1870-1951,1294,,,Germany
"Simon, G., arts",1897-,1295,,,Germany
"Simoneit, August, zdl",1842-1886,1296,,,Germany
"Skadsheim, zie Tunheim",,1297,,,
"Skubinna, Fr. Wilh., zdl",1885-1965,1298,,,Germany
"Slagter, zr. Cornelia",1866-1943,1299,,,Netherlands
"Slater, John, zdl",1789-,1300,,,United Kingdom
"Slettenaar, H., arts",1899-1977,1301,,,Netherlands
"Sloot, Reinder, ond.",1886-1931,1302,,,Netherlands
"Slotemaker de Bruïne, mw. C.",1900-1987,1303,,,Netherlands
"Slotemaker de Bruïne, dr. M.C.",1897-1986,1304,,,Netherlands
"Slotemaker de Bruïne, dr. NAC",1895-1969,1305,,,Netherlands
"Slump, F., zdl",1896-1972,1306,,,Netherlands
"Smalbraak, J., arts",1908/9-1998,1307,,,Netherlands
"Smeding, Hendrik, zdl",1833-1891,1308,,,Netherlands
"Smit, Gezinus, zdl",1883-1958,1309,,,Netherlands
"Smit, zr. P., diakones",,1310,,,Netherlands
"Smit, Wolter Arinus zdl",1906-1976,1311,,,Netherlands
"Snuggs, Ed. Thom, zdl ()",1860-?,1312,,,United Kingdom
"Soeting, zr. Hill. Pieter­nella",1907-2002,1313,,,Netherlands
"Solinger, D., zdl",1913-1969,1314,,,Netherlands
"Spangenberg, zr. J. ()",,1315,,,Germany
"Spellenberg, Corn., ond.",1904-...,1316,,,Germany
"Spethmann, Charlotte",1872-1947,1317,,,Germany
"Spiegel, Hendrik van der, zdl",1865-1919,1318,,,Netherlands
"Spiecker, Wilhelm, zdl",1874-1931,1319,,,Germany
"Spiller, Anna Maria Ruth",1907-2000,1320,,,Switzerland
"Splunder, Jeremias van, zdl",1858-1886,1321,,,Netherlands
"Spoelstra, mw. A., ond.",-1930,1322,,,Netherlands
"Sporket, Julius, zdl",1868-1955,1323,,,Germany
"Spreeuwenberg, H., zdl",1907-1951,1324,,,Netherlands
"Sprenger, Henriette",1866-1918,1325,,,Germany
"Stade, W., zdl",1889-1926,1326,,,Netherlands
"Stahlie, T.D., arts",1914-2009,1327,,,Netherlands
"Stam, Pieter, zwm",1822-1889,1328,,,Netherlands
"Stamer, Rev. John P.",,1329,,,United States of America
"Stap, J.E., zdl",1883-1946,1330,,,Netherlands
"Starink, J., zdl",1787/8-1828,1331,,,Netherlands
"Starkey, Earl F., ond.",,1332,,,United States of America
"Starrenburg, D.B., zdl",1880-1946,1333,,,Netherlands
"Staudt, F.M., ond.",1906-1945,1334,,,Netherlands
"Staudt-Burmania, mw. R., ond.",1904-2002,1335,,,Netherlands
"Staudte, Fr. Wilhelm, zdl",1845-1884,1336,,,Germany
"Stauffer, Otto, zdl.",1904-1942,1337,,,Germany
"Steele, William Henry, zdl",1818-1905,1338,,,United States of America
"Steenbergen, Femmie, ond.",1916-1947,1339,,,Netherlands
"Steenstra, zie Stenstra",,1340,,,
"Stefanski, Ms. Pauline, ond.",1881-1965,1341,,,United States of America
"Stegerhoek, zr. J.E.",1916-,1342,,,Netherlands
"Steinbrecher, Wilhelm, zdl",1862-1919,1343,,,Germany
"Steingräber, Paul, zdl",1884-1973,1344,,,Germany
"Steinhard, Johannes, zdl",1905-1966,1345,,,Germany
"Steinhart, Willem Leonard, zdl",1898-1982,1346,,,Netherlands
"Steinmetz, zr. W.H.C.",,1347,,,Netherlands
"Steinsieck, Wilhelm, zdl",1855-1924,1348,,,Germany
"Steller, mw. Auguste S Steller, ond. ",1900-,1349,,,
"Steller, E.T. (Steller), zwm",1834-1897,1350,,,Germany
"Steller, mr. K.G.F., zdl",1875-1945,1351,,,Netherlands
"Stelwagen, Uilke, ond.",1900-1965,1352,,,Netherlands
"Stenstra, Willem Corn., ond.",1884-1928,1353,,,Netherlands
"Steur, Emile van der",1901-42/5?,1354,,,Netherlands
"Steur, Joh. Hendrica, zie Mol",,1355,,,
"Steur, Johannes (""Pa"") van der",1865-1945,1356,,,Netherlands
"Stingel, Otto, zdl",1874-1945,1357,,,Germany
"Stoett, Janna Lucia",1894-1951,1358,,,Netherlands
"Stokking, Hendrik J., zdl",1878-1928,1359,,,Netherlands
"Stokkum, Marinus W.Th. v, arts",1881-1958,1360,,,Netherlands
"Stolk, zr. C.G.",,1361,,,Netherlands
"Stoové, Hendrik, zdl",1840-1901+,1362,,,Netherlands
"Storm, G.C., zdl",1894-1941,1363,,,Netherlands
"Storm, K., zdl",1864-1906,1364,,,Netherlands
"Strijker, Pietertje, verpl.",1901/5?-,1365,,,Netherlands
"Strötker, Friedrich, zdl",1863-1930,1366,,,Germany
"Stryker, Isaac, zdl",-1842,1367,,,United States of America
"Stuffers, mw. C., ond.",,1369,,,Netherlands
"Stuivenga, J.H.",,1370,,,Netherlands/United States of America
"Stursberg, Gustav, zdl",1853-1916,1371,,,Germany
"Stuut, zr. Helena Tallina",1898-1988,1372,,,Netherlands
"Stuut, zr. S.",,1373,,,Netherlands
"Sullivan, Rev. Floyd H.",1885/6-,1374,,,United States of America
"Sundermann, H.H.W., zdl",1855-1947,1375,,,Germany
"Sundermann, Wilh. H., zdl",1849-1919,1376,,,Germany
"Supper, J.C., zdl",1782-1816,1377,,,Germany
"Sybenga, zr. Tjitske Jantina",1908,1378,,,Netherlands
"Swaan, W., zdl",,1379,,,United States of America
"Swanborn, Adr. Jac., ond.",1872-1945,1380,,,Netherlands
"Swellengrebel, dr. Jan Lod.",1909-1984,1381,,,Netherlands
"Szasz, Laszlo, arts",,1382,,,Hungary
"Talens, J.P., zdl",1878-1971,1383,,,Netherlands
"Tanis, J., ond.",1898-1994,1384,,,Netherlands
"Tauffmann, C.E.W., zwm",1834-1896,1385,,,Germany
"Teasdale, G.",1868-1967,1386,,,United Kingdom/Austria
"Teekens, Ofke",1896-1942/5,1387,,,Netherlands
"Teffer, M., zdl",1827-1907,1388,,,Netherlands
"Telgte, H.J. ter, verpleger",1895-1942+,1389,,,Netherlands
"Temming, Auguste",1870-1930,1390,,,Germany
"Tendeloo, H.J., zdl",1830-1902,1391,,,Netherlands
"Terlinden, J.C., zdl",1803-1832,1392,,,Germany
"Tesche, Carl, zdl",1904-2002,1393,,,Germany
"Teutscher, H.J., zdl",1915-1976,1394,,,Netherlands
"Theis, August, zdl",1874-1968,1395,,,Germany
"Thiele, Alfred Charles F.",1892-1987,1396,,,Germany
"Thiessen, Johann",1869-1953,1397,,,Russia
"Thiessen, Nicolai, zdl",1874-1949,1398,,,Russia
"Thomas, Jost Wilhelm, zdl",1843-1900,1399,,,Germany
"Thomson, Frederick B., zdl",1809-1848,1400,,,United States of America
"Thomson, J.",,1401,,,United Kingdom
"Thornton, Ms. El., ond.",,1402,,,United Kingdom
"Tibben, zr. Hendrikje (H)",1887?-1957?,1403,,,
"Tiedeman, zr. N.",,1404,,,Netherlands
"Tiekstra, Gjalt Bouwes, ond.",1882-1960,1405,,,Netherlands
"Tiemersma, L., zdl",1861-1944,1406,,,Netherlands
"Tiemeyer, Friedrich, zdl",1901-1988,1407,,,Germany
"Tilbury, A.W.",,1408,,,United Kingdom
"Tilstra, Klaas",1897-1985,1409,,,Netherlands
"Tjhi Moi-fa, Ms.",±1905,1410,,,China
"Tobi, Leonard, zdl",1832-1888,1411,,,Netherlands
"Toet, zr. J.",1909?-,1412,,,Netherlands
"Tonsbeek, Johan W.",1884 -1915,1413,,,Netherlands
"Trommel, H.J., zdl",1905-1981,1415,,,Netherlands
"Tromp, Heinrich Philipp, zdl",1842-1922,1416,,,Germany
"Trostel, Gustav, zdl",1906-1942,1417,,,Germany
"Trowt, Thomas, zdl",1784-1816,1418,,,United Kingdom
"Tsang To Hang, zdl",±1905-1979,1419,,,China
"Tse, Y.K., zdl",±1905-,1420,,,China
"Tuiten, Joh., zdl",1884-1914,1421,,,Netherlands
"Tuiten, Martinus, zdl",1882-1957,1422,,,Netherlands
"Tunheim, Petra",1871-1923,1423,,,Norway/United States of America
"Tüttermann, Lina",1889-1939,1424,,,Germany
"Tuuk, H. Neubronner van der",1824-1894,1425,,,Netherlands
"Tuyll v Serooskerken, A.M. v.",1892-1989,1427,,,Netherlands
"Tweedy, zr. Elis. Arnoldine",1886-1956,1428,,,Netherlands
"Twijnstra, Hendrik",1892-1945,1429,,,Netherlands
"Ufer, Conrad, zdl",1871-1953,1430,,,Germany
"Uhlenbusch, H.Fr.W.",1841-1893,1431,,,Germany
"Uittenbogaard, H.M., ond.",1913-1978,1432,,,Netherlands
"Ulderink, zr. Hendr. Wilh. Joh.",1905-2005,1433,,,Netherlands
"Ulfers, S. (D), zdl",1818/9-1885,1434,,,Netherlands
"Underhill, Rev. Carl C.",,1435,,,United States of America
"Urech, Ms. Lydia, ond.",,1436,,,United States of America
"Vaandrig, G., ond.",,1437,,,Netherlands
"Vahrenkamp, Adele",1864-1929,1438,,,Germany
"Valderpoort, P.G.W., ond.",1892-1942/5,1439,,,Netherlands
"Valderpoort-Wierts van Coe­hoorn, mw. J.C.",,1440,,,Netherlands
"Valk, P.C. van der",,1441,,,Netherlands
"Valk, Theod. August F.. vder, zdl",1828-1874,1442,,,Netherlands
"Vasseur, Isaak J.W.J.",1891-1972,1443,,,Netherlands
"Veelen, mw. B.G. van",1908-2001,1444,,,Netherlands
"Veen, R., arts",1906-1972,1445,,,Netherlands
"Veen, Gerhardus H.A. vder, zdl",1874-1949,1446,,,Netherlands
"Veen, dr. H. van der",1888-1977,1447,,,Netherlands
"Veerenhuis, Gerrit Jan",1879-1946,1448,,,Netherlands
"Vegt, H.M. van der, arts",,1449,,,Netherlands
"Veld, Jan in 't, ond.",1883-1971,1450,,,Netherlands
"Velde, H. te, arts",1908-1942,1451,,,Netherlands
"Velden v Capellen, S.D. van der",1820/1-1856,1452,,,Netherlands
"Velders, mw. W.H.",1912-1993,1453,,,Netherlands
"Veldhuis, Ruurd, zdl",1893-1944,1454,,,Netherlands
"Veldstra, Fokke, arts",1896-1965,1455,,,Netherlands
"Vellekoop, Pieter Nic.",1890-1974,1456,,,Netherlands
"Vellenga, zr. J.A.",1897-1983,1457,,,Netherlands
"Verbeet, mw. G., ond.",1886-,1458,,,Netherlands
"Verdoorn, J.A., arts",1903-1991,1459,,,Netherlands
"Verhaag, Jacob, zdl",1803-±1880,1460,,,Netherlands
"Verhagen, Dirk, arts",1890-1961,1461,,,Netherlands
"Verhoeff Jr., Joh. Jac., zdl",1833-1872,1462,,,Netherlands
"Verhoeven, J., zdl",1844-1922,1463,,,Netherlands
"Verkuijl Az, Arie, ond.",1885-1961,1464,,,Netherlands
"Verkuyl, ds. dr. J.",1908-2001,1465,,,Netherlands
"Verleur, zr. Magd. Maria Cath.",1900-1987,1466,,,Netherlands
"Vermaasen, Jan Dirk, zdl",1815/6-1844,1467,,,Netherlands
"Vermeer, Aart sr., zdl.",1828-1891,1468,,,Netherlands
"Vermeer, A., jr., zdl",1872-1934,1469,,,Netherlands
"Vermolen, Willem, ond.",1892-1972,1470,,,Netherlands
"Versteeg, zr. C.",,1471,,,Netherlands
"Verveen, Dirk, arts",1903-1977,1472,,,Netherlands
"Verveen, J.E., arts",1905-1958,1473,,,Netherlands
"Verwaal, zr. D., diakones",,1474,,,Netherlands
"Verwiebe, Ernst, zdl",1901-1961,1475,,,Germany
"Vessem, Jac. van, zdl",1901-1991,1476,,,Netherlands
"Vieker, Wilhelm, zdl",1891-1961,1477,,,Germany
"Viering, mw. Emmi",1903-1988,1478,,,Germany
"Vischer, M. arts",1895/6-1943,1479,,,Switzerland
"Visser, Ale, zdl",1837-1861,1480,,,Netherlands
"Vizjak, Georg",1871-1937,1481,,,Croatia
"Vlis, Chr. Jac. van der, taalk.",1813-1842,1482,,,Netherlands
"Vogelesang, L., arts",1879-1932,1483,,,Netherlands
"Volkmann, H. Wilhelm, zdl",1856-1908,1484,,,Germany
"Volmer, Hermann, zdl",1909-1961,1485,,,Germany
"Vonk, A.H., arts",1893-1978,1486,,,Netherlands
"Vonk, Jan Casper, zdl",1785-1838,1487,,,Netherlands
"Vonk, W.T., zdl",,1489,,,Netherlands
"Voogd, Abraham de, zdl",1864-1944,1491,,,Netherlands
"Voorham, B.A., zdl",1875-1908,1492,,,Netherlands
"Vos, Herman Cornelis Wilhelm de, arts . ~ ongehuwd gebleven?",1903-1942,1494,,,Netherlands
"Vriend, zr. Geesje",1901-1952+,1495,,,Netherlands
"Vries, zr. A.C. de",1907-1998,1496,,,Netherlands
"Vries, Izaak Engelbert de, zdl",1879-1920,1497,,,Netherlands
"Vries, Jan de. zdl",1885-..,1498,,,Netherlands
"Vries, Lourens de, zdl.",1869-1960,1499,,,Netherlands
"Vries, Sytze Jans de, zdl",1838-1899,1500,,,Netherlands
"Vries, S.S. de, zdl",1876-1949,1501,,,Netherlands
"Vroom, J. de, zdl",1841-1881,1502,,,Netherlands
"Vuuren, zr. A.C. van",1902-1974,1503,,,Netherlands
"Vuurmans, H., zdl",1895-1957,1504,,,Netherlands
"Waal, zr. Adr. Frederica van de",1906-1990,1505,,,
"Waals, Gerardus van der, zdl",1875-1945,1506,,,Netherlands
"Wagner, Eduard, zdl",1871-1941,1507,,,Germany
"Wagner, Heintz, zdl",1904-1978,1508,,,Germany
"Wagner, Otto, zdl",1905-1962,1509,,,Germany
"Wagner, Wilhelm, arts",1891-1968,1510,,,Germany
"Wal, Marinus van der, zdl",1835-1904,1511,,,Netherlands
"Walo, Ms. E. ()",,1512,,,United Kingdom
"Walter, Luitpold, zdl",1905-,1513,,,Switzerland
"Wang, Leland (Wang Zaj)",1898-1975,1514,,,China
"Wantzlick, Gustav Adolf",1867-1913,1515,,,Austria
"Ward, Nathaniel Moore, zdl",† ±1872,1516,,,United Kingdom
"Ward, Rev. William T.",,1517,,,United States of America
"Warneck, Johannes, zdl",1867-1944,1518,,,Germany
"Weber, Friedrich, zwm",,1519,,,Germany
"Weber, Georg Wilhelm, zdl",1841-1871,1520,,,Germany
"Wedel-Jarlsberg, Th. von",1863-1930,1521,,,Germany
"Weeda, J.B., zdl",1885-1938+,1522,,,Netherlands
"Weeda, mw. M.",,1523,,,Netherlands
"Weener, zr. C.L.",1899-1984,1524,,,Netherlands
"Weerd, Hermann de, zdl",1857-1885,1525,,,Germany
"Weerd, W.B. de, zdl",1905-2003,1526,,,Netherlands
"Weerden, Harm Jan van, zdl.",1899-1948,1527,,,Netherlands
"Weetneck, Auguste",1873-,1528,,,Germany
"Weg, J. van de, zdl",1887-1945,1529,,,Netherlands
"Weiler, zdl G.",,1530,,,Netherlands
"Weiss, Ernst, zwm",1831-1866,1531,,,Germany
"Weiss, zr. Kath. E.Th.",1890-1978,1532,,,Germany
"Weissenbruch, Hermann, zdl",1877-1945,1533,,,Germany
"Weisser, Samuel, zdl",1891-1942,1534,,,Germany
"Weissinger, H.",1904-1982,1535,,,Germany
"Wellensiek, mw. H.J., ond.",1882-1968,1536,,,Netherlands
"Welsz, Gerrit Joh., ond.",1882-1925,1537,,,Netherlands
"Werff, zr. Ienskje van der",1904,1538,,,Netherlands
"Werimon-Bakker, M.D., maatsch. werker, zie Bakker, mw. M.D.",,1539,,,
"Werkman, O., zdl",1887-1944,1540,,,Netherlands
"Werner, Lore",1898-1988,1541,,,Germany
"Wessel, zr. G. van",1905-1996,1542,,,Netherlands
"Wesseldijk, H.J., zdl",1886-1964,1543,,,Netherlands
"Wesseldijk, J.W., zdl",1889-1945,1544,,,Netherlands
"Westendorp, zr. Antje",1906-,1545,,,Netherlands
"Westerveld-van der Ben, zr. A.A.C. zie Ben, A.A.C. van der",,1546,,,
"Westerveld, Willem, ond.",1886-1961,1547,,,Netherlands
"Wetstein, J., zdl",1886-1967,1548,,,Netherlands
"Wiebe, Nicolai, zdl.",1862-,1549,,,Russia
"Wiegand, Heinrich, zdl",1876-1941,1550,,,Germany
"Wiegers, J., zdl",1891-1968,1551,,,Netherlands
"Wieënkötter, H. A. Florenz, zdl",1791/2-1828,1552,,,Germany
Wielenga (jr.) ds. D.K.,1880-1942,1553,,,Netherlands
"Wielenga, Johanna Dirkje, ond.",1907-1979,1554,,,Netherlands
"Wiersema, Jakob Siert, arts",1907-1981,1555,,,Netherlands
"Wiersma, J.N., zdl",1833-1907,1556,,,Netherlands
"Wieske, Hendrik, ond.",1884-1953,1557,,,Netherlands
"Wigand, Fr. Eberhard, zdl",1827-1859,1558,,,Germany
"Wiggelendam, K., zdl",1845-1909,1559,,,Netherlands
"Wiggers, Jan Albert, ond.",1893-1968,1560,,,Netherlands
"Wiggers, zr. Gesiena Ber.",1910-1959+,1561,,,Netherlands
"Wijnekes, zr. Plonia Maria",1885-1976,1562,,,Netherlands
"Wijngaarden, J.K., zdl",1866-1894,1563,,,Netherlands
"Wijs, Agatha Ant. de, diakones",1892-1924,1564,,,Netherlands
"Wikdal, P.S.",,1565,,,Scandinavia
"Wilcox, Rev. Burton O.",,1566,,,United States of America
"Wilhelm, Jacob, zdl.",1854-1892,1567,,,Netherlands
"Wilken, N.P., (O-Friesl.), zdl",1813-1878,1568,,,Netherlands
"Wilkening, Johannes, zdl",1873-1963,1569,,,Germany
"Wilkens, Ms. L.V., ond.",,1570,,,United Kingdom
"Willfinger, John F., zdl",1910-1942,1571,,,United States of America
"Winckler, Joh. Chr. Furchtegott",1799-1833?,1572,,,Germany
"Winkler, K.J.M. (Joh.), arts",1874-1958,1573,,,Germany
"Wits, zr. W.",1914-1991,1574,,,Netherlands
"Witt, mw. H.",1893-1978,1575,,,Netherlands
"Witt, Lothar, zdl",1904-1975,1576,,,Germany
"Wittmann-Nikolajew, Marussa,  ond.",1873-1953,1577,,,Russia
"Woelders, Willem H., zdl",1837-1892,1579,,,Netherlands
"Woensdregt, Jacob, zdl",1889-1928,1580,,,Netherlands
"Woerden, mw. M. van, ond.",,1581,,,Netherlands
"Woerner, Gustave, zdl.",1896-1978,1582,,,United States of America
"Wolff, zr. M.A.",1907/8-1996,1583,,,Netherlands
"Wolterbeek, Jan David",1890-1976,1584,,,Netherlands
"Wong A Tjhin, Ms., zdl",±1905-,1585,,,China
"Wood, George Alb. ()",1867-1944,1586,,,Australia
"Woodward, Leonard H.",1883-1950,1587,,,United Kingdom
"Woortman, H.D., zdl",1889-1986,1588,,,Netherlands
"Worthington, Rev. Charles M.",1876-1856,1589,,,United States of America
"Wortman, Louis M.D.",1906-1945,1590,,,Netherlands
"Woude, Adriana van der",1894?-,1591,,,Netherlands
"Wulp, Hendrik van der, ond.",1815-1891,1592,,,Netherlands
"Wunderink, Everdina Maria",1880-..,1593,,,Netherlands
"Yates, John Spain",1888-1950,1595,,,United States of America
"IJdens, Hendrik, ond.",1882-1949,1596,,,Netherlands
"IJkel, zr. Jeanna Agatha",1903-,1597,,,Netherlands
"Young, Ms. Ethel",,1598,,,United States of America
"Youngberg, Gustavus Benson",1888-1944,1599,,,United States of America
"Youngblood, William, zdl",1808-1886,1600,,,United States of America
"Zanten, zr. Adriana Joh. van",1886-,1601,,,Netherlands
"Zegers, J.L., zdl",1844-1919,1602,,,Netherlands
"Zegers Verhoeven, Elias Adr.  )ongehuwd gebleven?",1876-1928,1603,,,Netherlands
"Zeitter, Karolina Auguste",1865-1938,1604,,,Germany
"Zeldam Ganswijk, D.J. ten, zdl",1829/30-'69,1605,,,Netherlands
"Zenker, Clara",1877-1925,1606,,,Germany
"Ziegler, Julius, zdl",1885-1959,1607,,,Germany
"Zigterman, zr. Gepke",1880-1964,1608,,,Netherlands
"Zijlstra, P., zdl.",1897-1973,1609,,,Netherlands
"Zimmer, Georg, zdl",1826-1901,1610,,,Germany
"Zimmer, Woldemar, zdl",1903-1994,1611,,,Switzerland
"Zimmerbeutel, zr. Anna",1892-1970,1612,,,Germany
"Zimmerbeutel, G.A., zdl",1862-1921,1613,,,Germany
"Zimmermann, A.H.",,1614,,,Germany
"Zimmermann, Philipp, zdl",1875-1953,1615,,,Germany
"Zissler, Ferdinand, zdl",1875-1943,1616,,,Germany
"Zuidema, Jacob Popkes, ond.",1860-1932,1617,,,Netherlands
"Zuidema, Pieter Jan, arts",1907-1996,1618,,,Netherlands
"Zuidema, ds. dr. Sytse Ulbe",1906-1975,1619,,,Netherlands
"Zuijlen, zr. A.M. van",1899-1987,1620,,,Netherlands
"Zuppinger, H., verpleger, zdl",± 1880-,1621,,,Germany
"Zwaan, A.C., arts",1899-1959,1622,,,Netherlands
"Zwaan, ds. Cornelis",1871-1938,1623,,,Netherlands
"Zwaan, C., zdl",1909-1977,1624,,,Netherlands
"Zwaan, Corn. Laurens, arts",1901-1944,1625,,,Netherlands
"Zwaan, W.J.A., zdl",1881-1954,1626,,,Netherlands
"Zwerus, A.J., ond.",1903-1944,1627,,,Netherlands
